Unnamed: 0,WEBJRGA,辞書データ
1005,いとうずいひつ,意到随筆
1006,いとおしい,いとおしい
1007,いどがえ,井戸替え
1008,いとけない,いとけない
1009,いとこ,いとこ
1010,いどころ,居所
1011,いとしい,いとしい
1012,いどばた,井戸端
1013,いとま,いとま
1014,いなか,田舎
1015,いなせ,いなせ
1016,いなっくす,ＩＮＡＸ
1017,いなり,稲荷
1018,いなりずし,いなりずし
1019,いにしえ,いにしえ
1020,いにょう,囲繞
1021,いぬ,イヌ／犬
1022,いぬ,戌（いぬ）
1023,いね,イネ／稲
1024,いねむり,居眠り
1025,いのいちばん,いの一番
1026,いのちがけ,命懸け
1027,いのなかのかわず,「井の中のかわず」
1028,いはい,位牌（いはい）
1029,いはい,遺灰
1030,いばく,帷幕
1031,いばしちし,倚馬七紙
1032,いばしんえん,意馬心猿
1033,いはつ,衣鉢
1034,いばらのみち,いばらの道
1035,いばる,威張る
1036,いはん,違反
1037,いびちんたい,萎靡沈滞
1038,いびつ,いびつ
1039,いふ,畏怖
1040,いぶ,慰撫
1041,いふうどうどう,威風堂々
1042,いぶく,いぶく
1043,いぶけいぶん,緯武経文
1044,いへんさんぜつ,韋編三絶
1048,いまいち,いまいち
1049,いまいちど,いま一度
1050,いまいま,今々
1051,いまいましい,いまいましい
1052,いまから,今から
1053,いまさら,今更
1054,いましがた,今し方
1055,いましめる,戒める
1056,いますぐ,今すぐ
1057,いまだに,いまだに
1058,いまどき,今どき
1059,いまに,今に
1060,いまにも,今にも
1061,いまひとつ,いまひとつ
1062,いまや,今や
1063,いまよう,今様
1064,いまもって,今もって
1065,いまわ,いまわ
1066,いまわしい,忌まわしい
1067,いまをときめく,今を時めく
1068,いみきらう,忌み嫌う
1069,いみしんちょう,意味深長
1071,いも,イモ／芋
1072,いもち,いもち
1073,いもの,鋳物
1074,いや,いや
1075,いやいや,嫌々
1077,いやがうえにも,いやが上にも
1078,いやがらせ,嫌がらせ
1079,いやけ,嫌気
1080,いやしい,卑しい
1081,いやしくも,いやしくも
1082,いやす,癒やす
1083,いやすい,居やすい
1084,いやというほど,嫌というほど
1085,いやな,嫌な
1087,いやほん,イヤホン
1088,いやみ,嫌み
1089,いやらしい,いやらしい
1090,いやりんぐ,イヤリング
1091,いよいよ,いよいよ
1092,いよう,威容
1093,いらいらする,いらいらする
1094,いらだつ,いら立つ
1095,いらつく,いらつく
1096,いらっしゃる,いらっしゃる
1097,いりあい,入り会い
1098,いりあい,入相
1099,いりびたる,入り浸る
1100,いりまじる,入り交じる
1101,いりもや,入り母屋
1102,いりゅう,慰留
1103,いりゅう,遺留
1104,いりょうきかい,医療機械
1105,いりょうきぐ,医療器具
1106,いりょく,威力
1108,いる,要る
1109,いる,入る
1110,いる,居る
1112,いる,いる
1113,いる,鋳る
1114,いれあげる,入れ揚げる
1115,いれかえ,入れ替え
1116,いれかわりたちかわり,入れ代わり立ち代わり
1118,いれずみ,入れ墨
1120,いろいろ,いろいろ
1121,いろう,胃ろう
1122,いろづかい,色使い
1123,いろづかい,色遣い
1124,いろづく,色づく
1125,いろどり,彩り
1126,いろめく,色めく
1127,いろみ,色み
1128,いろよい,色よい
1129,いろり,いろり
1130,いわかん,違和感
1131,いわく,いわく
1132,いわし,イワシ
1133,いわしみず,岩清水
1134,いわずもがな,言わずもがな
1135,いわば,いわば
1136,いわゆる,いわゆる
1137,いわれ,いわれ
1138,いわれだす,言われだす
1139,いんうつ,陰鬱（いんうつ）
1140,いんえい,陰影
1141,いんか,印顆
1142,いんか,印加
1143,いんかしょくぶつ,隠花植物
1144,いんがおうほう,因果応報
1145,いんぎん,いんぎん
1146,いんこう,咽喉
1147,いんこう,淫行
1148,いんしじゃきょう,淫祠邪教
1149,いんじゅ,印綬
1150,いんしゅう,因習
1151,いんじゅん,因循
1152,いんする,淫する
1153,いんせい,隠棲
1154,いんせいかんじょう,陰性感情
1155,いんせき,姻戚
1156,いんせき,隕石
1157,いんぜん,隠然
1158,いんせんてぃぶ,インセンティブ
1159,いんそつ,引率
1162,いんちき,いんちき
1163,いんてりげんちあ,インテリゲンチア
